Date,Leg,Entry_Time,Strike,Sell_Price,Exit_Time,Exit_Price,Qty,Premium_Collected,PnL,Reason,Capital_After
2023-11-29,CE,13:38,20050,58.95,13:42,65.55,65,3831.75,-429.0,SL Hit (20047.5 >= 20045.6),178445.25
2023-11-29,PE,10:56,20000,39.6,15:16,12.45,65,2574.0,1764.75,Settlement 15:15,180210.0
2023-11-30,CE,10:07,20050,29.85,10:44,66.3,65,1940.25,-2369.25,SL Hit (20098.6 >= 20092.4),177840.75
2023-11-30,CE,11:23,20050,36.3,13:41,56.2,65,2359.5,-1293.5,SL Hit (20089.4 >= 20089.0),176547.25
2023-11-30,CE,14:07,20100,12.1,14:42,53.25,65,786.5,-2674.75,SL Hit (20124.1 >= 20124.0),173872.5
2023-11-30,PE,10:28,20050,35.1,15:16,0.1,65,2281.5,2275.0,Settlement 15:15,176147.5
2023-12-01,CE,10:58,20250,157.3,11:00,159.85,65,10224.5,-165.75,SL Hit (20270.0 >= 20267.2),175981.75
2023-12-01,CE,11:25,20250,156.4,11:26,162.35,65,10166.0,-386.75,SL Hit (20272.5 >= 20267.5),175595.0
2023-12-01,CE,12:22,20300,125.0,14:04,139.1,65,8125.0,-916.5,SL Hit (20286.0 >= 20285.3),174678.5
2023-12-01,PE,10:03,20250,95.8,15:16,100.65,65,6227.0,-315.25,Settlement 15:15,174363.25
2023-12-04,CE,09:58,20550,111.6,11:18,122.1,65,7254.0,-682.5,SL Hit (20582.5 >= 20582.0),173680.75
2023-12-04,CE,12:49,20600,93.45,12:51,95.4,65,6074.25,-126.75,SL Hit (20581.6 >= 20581.2),173554.0
2023-12-04,CE,13:11,20600,95.9,13:15,100.65,65,6233.5,-308.75,SL Hit (20592.0 >= 20590.6),173245.25
2023-12-04,PE,11:20,20550,69.0,15:16,46.8,65,4485.0,1443.0,Settlement 15:15,174688.25
2023-12-05,CE,10:38,20800,117.8,10:39,126.0,65,7657.0,-533.0,SL Hit (20833.7 >= 20831.2),174155.25
2023-12-05,PE,09:53,20800,98.4,11:43,123.3,65,6396.0,-1618.5,SL Hit (20743.5 <= 20746.6),172536.75
2023-12-05,CE,11:13,20850,99.6,15:06,93.4,65,6474.0,403.0,SL Hit (20856.2 >= 20855.7),172939.75
2023-12-05,PE,12:05,20750,82.9,15:16,37.2,65,5388.5,2970.5,Settlement 15:15,175910.25
2023-12-06,PE,10:55,20950,71.05,13:05,97.4,65,4618.25,-1712.75,SL Hit (20889.2 <= 20889.8),174197.5
2023-12-06,CE,10:12,20900,84.0,14:43,98.7,65,5460.0,-955.5,SL Hit (20951.0 >= 20947.3),173242.0
2023-12-06,CE,15:11,20950,62.8,15:16,54.15,65,4082.0,562.25,Settlement 15:15,173804.25
2023-12-06,PE,13:45,20900,54.2,15:16,36.95,65,3523.0,1121.25,Settlement 15:15,174925.5
2023-12-07,CE,10:23,20900,14.0,10:24,14.0,65,910.0,0.0,SL Hit (20883.2 >= 20877.4),174925.5
2023-12-07,CE,11:34,20900,21.9,15:16,3.35,65,1423.5,1205.75,Settlement 15:15,176131.25
2023-12-07,PE,10:29,20900,43.2,15:16,4.8,65,2808.0,2496.0,Settlement 15:15,178627.25
2023-12-08,PE,10:08,21000,99.9,10:09,101.85,65,6493.5,-126.75,SL Hit (20974.8 <= 20977.4),178500.5
2023-12-08,PE,10:33,21000,93.05,11:00,106.65,65,6048.25,-884.0,SL Hit (20968.3 <= 20971.5),177616.5
2023-12-08,PE,11:42,21000,97.95,12:22,112.2,65,6366.75,-926.25,SL Hit (20953.5 <= 20958.0),176690.25
2023-12-08,CE,10:11,21000,133.45,15:16,113.0,65,8674.25,1329.25,Settlement 15:15,178019.5
2023-12-11,PE,10:17,21000,81.75,10:39,86.35,65,5313.75,-299.0,SL Hit (20987.5 <= 20989.9),177720.5
2023-12-11,CE,10:45,20950,118.45,15:16,119.35,65,7699.25,-58.5,Settlement 15:15,177662.0
2023-12-11,PE,12:51,20950,72.65,15:16,65.75,65,4722.25,448.5,Settlement 15:15,178110.5
2023-12-12,PE,10:02,21000,64.55,10:11,66.25,65,4195.75,-110.5,SL Hit (21015.5 <= 21019.4),178000.0
2023-12-12,PE,10:42,21000,71.85,12:47,70.8,65,4670.25,68.25,SL Hit (20980.0 <= 20980.2),178068.25
2023-12-12,PE,13:36,20950,60.3,13:56,58.85,65,3919.5,94.25,SL Hit (20958.7 <= 20959.3),178162.5
2023-12-12,CE,10:21,21000,91.85,15:16,60.2,65,5970.25,2057.25,Settlement 15:15,180219.75
2023-12-13,PE,11:05,20850,46.85,11:34,80.65,65,3045.25,-2197.0,SL Hit (20793.1 <= 20800.1),178022.75
2023-12-13,CE,10:03,20850,74.15,15:02,105.3,65,4819.75,-2024.75,SL Hit (20907.5 >= 20905.1),175998.0
2023-12-13,PE,12:43,20800,52.95,15:16,12.4,65,3441.75,2635.75,Settlement 15:15,178633.75
2023-12-14,CE,10:21,21150,26.35,11:46,30.85,65,1712.75,-292.5,SL Hit (21182.1 >= 21182.0),178341.25
2023-12-14,CE,12:22,21150,21.45,12:24,24.85,65,1394.25,-221.0,SL Hit (21164.2 >= 21164.1),178120.25
2023-12-14,CE,13:59,21200,16.5,15:16,19.75,65,1072.5,-211.25,Settlement 15:15,177909.0
2023-12-14,PE,10:03,21150,26.0,15:16,0.1,65,1690.0,1683.5,Settlement 15:15,179592.5
2023-12-15,CE,10:55,21300,117.6,13:46,163.4,65,7644.0,-2977.0,SL Hit (21342.0 >= 21341.5),176615.5
2023-12-15,PE,10:16,21300,81.7,15:16,50.5,65,5310.5,2028.0,Settlement 15:15,178643.5
2023-12-18,CE,11:13,21450,117.7,11:19,120.85,65,7650.5,-204.75,SL Hit (21475.5 >= 21473.2),178438.75
2023-12-18,PE,10:06,21450,112.45,13:12,125.55,65,7309.25,-851.5,SL Hit (21414.5 <= 21416.1),177587.25
2023-12-18,PE,13:32,21400,94.85,15:15,92.85,65,6165.25,130.0,SL Hit (21413.0 <= 21413.9),177717.25
2023-12-18,CE,11:53,21450,116.0,15:16,83.75,65,7540.0,2096.25,Settlement 15:15,179813.5
2023-12-19,CE,10:12,21350,96.75,10:42,117.9,65,6288.75,-1374.75,SL Hit (21390.2 >= 21390.1),178438.75
2023-12-19,CE,13:12,21450,98.95,13:51,112.65,65,6431.75,-890.5,SL Hit (21472.9 >= 21472.0),177548.25
2023-12-19,CE,15:01,21450,77.55,15:16,82.65,65,5040.75,-331.5,Settlement 15:15,177216.75
2023-12-19,PE,10:38,21400,88.55,15:16,46.15,65,5755.75,2756.0,Settlement 15:15,179972.75
2023-12-20,PE,10:51,21550,43.2,11:31,59.25,65,2808.0,-1043.25,SL Hit (21537.7 <= 21543.0),178929.5
2023-12-20,PE,12:57,21550,66.2,13:01,73.25,65,4303.0,-458.25,SL Hit (21513.0 <= 21513.5),178471.25
2023-12-20,CE,10:13,21550,67.8,15:16,3.3,65,4407.0,4192.5,Settlement 15:15,182663.75
2023-12-21,CE,10:36,21100,28.3,11:00,82.5,65,1839.5,-3523.0,SL Hit (21166.3 >= 21163.0),179140.75
2023-12-21,CE,11:20,21150,29.9,12:03,48.5,65,1943.5,-1209.0,SL Hit (21178.0 >= 21177.9),177931.75
2023-12-21,CE,13:12,21250,32.2,13:31,43.7,65,2093.0,-747.5,SL Hit (21260.5 >= 21253.8),177184.25
2023-12-21,PE,10:15,21100,43.25,15:16,0.1,65,2811.25,2804.75,Settlement 15:15,179989.0
2023-12-22,CE,11:23,21350,196.0,11:42,195.45,65,12740.0,35.75,SL Hit (21385.8 >= 21384.7),180024.75
2023-12-22,PE,09:57,21350,122.05,13:50,161.0,65,7933.25,-2531.75,SL Hit (21242.0 <= 21244.2),177493.0
2023-12-22,CE,12:21,21350,172.95,15:16,157.0,65,11241.75,1036.75,Settlement 15:15,178529.75
2023-12-22,PE,14:15,21300,106.8,15:16,82.1,65,6942.0,1605.5,Settlement 15:15,180135.25
2023-12-26,CE,12:32,21450,134.65,15:16,109.15,65,8752.25,1657.5,Settlement 15:15,181792.75
2023-12-26,PE,10:13,21400,84.8,15:16,57.1,65,5512.0,1800.5,Settlement 15:15,183593.25
2023-12-27,CE,10:47,21550,94.6,10:50,98.25,65,6149.0,-237.25,SL Hit (21582.2 >= 21581.6),183356.0
2023-12-27,CE,11:14,21600,69.9,11:28,67.6,65,4543.5,149.5,SL Hit (21584.4 >= 21583.5),183505.5
