Date,Leg,Entry_Time,Strike,Sell_Price,Exit_Time,Exit_Price,Qty,Premium_Collected,PnL,Reason,Capital_After,Spot_945,Slope_CE,Slope_PE
2024-01-09,CE,09:45,21600,110.55,10:19,138.3,65,7185.75,-1803.75,SL Hit (138.30 >= 132.66),141320.5,21613.75,-2.6,9.7
2024-01-10,PE,09:45,21550,85.65,10:06,103.95,65,5567.25,-1189.5,SL Hit (103.95 >= 102.78),140131.0,21541.75,8.1,-5.05
2024-01-11,CE,09:45,21700,27.85,15:15,0.15,65,1810.25,1800.5,Settlement 15:15,141931.5,21684.6,-14.8,8.0
2024-01-12,PE,09:45,21750,121.2,15:15,69.85,65,7878.0,3337.75,Settlement 15:15,145269.25,21742.2,13.6,-22.85
2024-01-15,PE,09:45,22050,119.65,09:54,147.55,65,7777.25,-1813.5,SL Hit (147.55 >= 143.58),143455.75,22050.35,13.4,-11.2
2024-01-16,PE,09:45,22050,95.15,13:32,118.5,65,6184.75,-1517.75,SL Hit (118.50 >= 114.18),141938.0,22072.55,5.35,-4.3
2024-01-17,CE,09:45,21850,75.2,15:15,10.85,65,4888.0,4182.75,Settlement 15:15,146120.75,21825.25,-41.65,-0.3
2024-01-18,CE,09:45,21400,42.1,10:09,63.95,65,2736.5,-1420.25,SL Hit (63.95 >= 50.52),144700.5,21379.65,-45.0,24.45
2024-01-19,CE,09:45,21650,151.85,15:15,158.1,65,9870.25,-406.25,Settlement 15:15,144294.25,21628.4,-0.55,3.85
2024-01-20,CE,09:45,21650,168.35,15:15,118.3,65,10942.75,3253.25,Settlement 15:15,147547.5,21646.25,-15.95,33.95
2024-01-23,CE,09:45,21750,118.8,15:15,12.05,65,7722.0,6938.75,Settlement 15:15,154486.25,21727.75,-0.1,1.95
2024-01-24,PE,09:45,21300,109.15,11:32,137.85,65,7094.75,-1865.5,SL Hit (137.85 >= 130.98),152620.75,21290.3,49.35,-56.7
2024-01-25,CE,09:45,21350,74.3,09:49,89.4,65,4829.5,-981.5,SL Hit (89.40 >= 89.16),151639.25,21372.1,-57.75,19.2
2024-01-29,PE,09:45,21550,156.25,15:15,92.9,65,10156.25,4117.75,Settlement 15:15,155757.0,21536.7,59.4,-21.35
2024-01-30,CE,09:45,21750,213.7,15:15,68.7,65,13890.5,9425.0,Settlement 15:15,165182.0,21748.35,-8.65,19.15
2024-01-31,PE,09:45,21600,136.45,15:15,74.25,65,8869.25,4043.0,Settlement 15:15,169225.0,21578.1,48.2,-64.8
2024-02-01,PE,09:45,21750,101.45,11:17,127.2,65,6594.25,-1673.75,SL Hit (127.20 >= 121.74),167551.25,21752.55,-36.15,-43.45
2024-02-02,PE,09:45,21900,126.3,13:13,155.95,65,8209.5,-1927.25,SL Hit (155.95 >= 151.56),165624.0,21916.45,56.45,-43.45
2024-02-05,PE,09:45,21900,157.3,10:21,192.85,65,10224.5,-2310.75,SL Hit (192.85 >= 188.76),163313.25,21902.5,27.2,-17.25
2024-02-06,PE,09:45,21850,151.9,15:15,95.35,65,9873.5,3675.75,Settlement 15:15,166989.0,21846.8,22.2,-26.6
2024-02-07,CE,09:45,22000,106.55,15:15,55.75,65,6925.75,3302.0,Settlement 15:15,170291.0,21975.0,-21.75,19.95
2024-02-08,CE,09:45,21950,69.35,15:15,0.15,65,4507.75,4498.0,Settlement 15:15,174789.0,21966.65,-14.2,8.35
2024-02-09,PE,09:45,21750,165.4,09:54,204.0,65,10751.0,-2509.0,SL Hit (204.00 >= 198.48),172280.0,21735.6,10.55,-15.7
2024-02-12,CE,09:45,21750,156.1,15:15,83.3,65,10146.5,4732.0,Settlement 15:15,177012.0,21747.9,-21.6,12.05
2024-02-13,CE,09:45,21600,138.8,09:59,173.2,65,9022.0,-2236.0,SL Hit (173.20 >= 166.56),174776.0,21606.55,-26.45,20.1
2024-02-14,CE,09:45,21550,91.75,09:53,115.45,65,5963.75,-1540.5,SL Hit (115.45 >= 110.10),173235.5,21559.7,-26.75,4.8
2024-02-15,CE,09:45,21850,54.0,09:48,65.1,65,3510.0,-721.5,SL Hit (65.10 >= 64.80),172514.0,21840.9,-39.3,20.6
