Date,Starting_Capital,Ending_Capital,CE_PnL,PE_PnL,Total_PnL,Return_Pct,Trades_Count,Sold_Leg,Slope_CE,Slope_PE,Strike
2025-01-02,220136.25,227153.0,0.0,7016.75,7016.75,3.1874577676325453,1,PE,12.85,-27.2,23850
2025-01-03,227153.0,230776.75,3623.75,0.0,3623.75,1.5952903989821836,1,CE,-36.8,34.7,24100
2025-01-06,230776.75,228404.25,-2372.5,0.0,-2372.5,-1.0280498360428423,1,CE,-35.75,56.1,23950
2025-01-07,228404.25,225992.75,0.0,-2411.5,-2411.5,-1.0558034712576496,1,PE,-16.15,-19.85,23750
2025-01-08,225992.75,224793.5,-1199.25,0.0,-1199.25,-0.5306586162609199,1,CE,-44.15,-4.9,23650
2025-01-09,224793.5,224228.0,-565.5,0.0,-565.5,-0.25156421337805585,1,CE,-29.65,0.7,23600
2025-01-10,224228.0,221631.25,-2596.75,0.0,-2596.75,-1.158084628146351,1,CE,-46.95,60.95,23450
2025-01-13,221631.25,219284.75,-2346.5,0.0,-2346.5,-1.0587405882518823,1,CE,-12.45,0.75,23250
2025-01-14,219284.75,217887.25,-1397.5,0.0,-1397.5,-0.6372992193939615,1,CE,-22.5,15.0,23200
2025-01-15,217887.25,216626.25,-1261.0,0.0,-1261.0,-0.5787396922031922,1,CE,-30.0,17.0,23200
2025-01-16,216626.25,218560.0,1933.75,0.0,1933.75,0.8926665166386807,1,CE,-19.95,-6.5,23300
2025-01-17,218560.0,215940.5,-2619.5,0.0,-2619.5,-1.198526720351391,1,CE,-16.3,1.7,23200
2025-01-20,215940.5,212775.0,-3165.5,0.0,-3165.5,-1.465913064015319,1,CE,-7.95,31.55,23200
2025-01-21,212775.0,210727.5,-2047.5,0.0,-2047.5,-0.9622841029256257,1,CE,-7.4,28.3,23350
2025-01-22,210727.5,209125.25,-1602.25,0.0,-1602.25,-0.7603421480347842,1,CE,-15.5,4.0,23050
2025-01-23,209125.25,212225.75,0.0,3100.5,3100.5,1.4826043244419314,1,PE,34.4,-57.2,23200
2025-01-24,212225.75,209450.25,-2775.5,0.0,-2775.5,-1.3078054854323757,1,CE,-7.75,18.4,23250
2025-01-27,209450.25,206817.75,0.0,-2632.5,-2632.5,-1.2568617129843485,1,PE,7.1,2.3,22950
2025-01-28,206817.75,202995.75,-3822.0,0.0,-3822.0,-1.8480038584695946,1,CE,-7.8,47.4,22900
2025-01-29,202995.75,200308.0,0.0,-2687.75,-2687.75,-1.3240424984266912,1,PE,35.2,6.85,23050
2025-01-30,200308.0,207666.0,0.0,7358.0,7358.0,3.6733430517003813,1,PE,-2.55,-69.0,23200
2025-01-31,207666.0,215960.0,0.0,8294.0,8294.0,3.993913303092466,1,PE,36.7,-30.6,23350
2025-02-01,215960.0,212814.0,0.0,-3146.0,-3146.0,-1.4567512502315245,1,PE,12.6,-12.5,23550
2025-02-03,212814.0,210370.0,-2444.0,0.0,-2444.0,-1.1484206866089637,1,CE,-41.0,10.9,23250
2025-02-04,210370.0,208592.25,0.0,-1777.75,-1777.75,-0.8450587060892714,1,PE,69.85,-2.75,23550
2025-02-05,208592.25,207214.25,0.0,-1378.0,-1378.0,-0.6606189827282654,1,PE,-1.7,-20.0,23800
2025-02-06,207214.25,211293.0,4078.75,0.0,4078.75,1.9683733140939872,1,CE,-27.85,20.2,23650
2025-02-07,211293.0,208706.0,-2587.0,0.0,-2587.0,-1.2243661645203578,1,CE,-27.9,16.25,23600
2025-02-10,208706.0,210259.5,1553.5,0.0,1553.5,0.7443485093864096,1,CE,-50.75,27.3,23400
2025-02-11,210259.5,216398.75,6139.25,0.0,6139.25,2.9198442876540653,1,CE,-20.25,-3.8,23350
2025-02-12,216398.75,214276.5,-2122.25,0.0,-2122.25,-0.9807126889596174,1,CE,-116.55,36.1,22900
2025-02-13,214276.5,212251.75,0.0,-2024.75,-2024.75,-0.944923965063831,1,PE,6.5,-17.75,23100
2025-02-14,212251.75,216395.5,4143.75,0.0,4143.75,1.9522807232449202,1,CE,-40.4,32.75,23050
2025-02-17,216395.5,221215.25,0.0,4819.75,4819.75,2.2272875360162296,1,PE,7.75,-17.5,22800
2025-02-18,221215.25,222853.25,1638.0,0.0,1638.0,0.7404552805468881,1,CE,-26.0,6.05,22950
2025-02-19,222853.25,224130.5,0.0,1277.25,1277.25,0.5731350114929893,1,PE,17.6,-48.5,22900
2025-02-20,224130.5,222775.25,-1355.25,0.0,-1355.25,-0.6046700471377167,1,CE,-37.05,-14.75,22850
2025-02-21,222775.25,225342.75,2567.5,0.0,2567.5,1.1525068426586884,1,CE,-22.85,16.7,22850
2025-02-24,225342.75,226951.5,1608.75,0.0,1608.75,0.7139124733322905,1,CE,-68.55,31.85,22600
2025-02-25,226951.5,227354.5,0.0,403.0,403.0,0.17757097882146627,1,PE,-1.45,-31.15,22600
2025-02-27,227354.5,226958.0,-396.5,0.0,-396.5,-0.1743972518687776,1,CE,-33.6,-3.1,22550
2025-02-28,226958.0,231322.75,4364.75,0.0,4364.75,1.9231531825271635,1,CE,-77.1,16.75,22250
2025-03-03,231322.75,232375.75,1053.0,0.0,1053.0,0.4552081453294153,1,CE,-54.75,35.4,22100
2025-03-04,232375.75,233646.5,0.0,1270.75,1270.75,0.5468513818675141,1,PE,9.25,-21.1,22000
2025-03-05,233646.5,236366.75,0.0,2720.25,2720.25,1.1642588269030352,1,PE,46.65,-79.55,22250
2025-03-06,236366.75,234693.0,-1673.75,0.0,-1673.75,-0.7081156719377831,1,CE,-100.7,35.65,22300
2025-03-07,234693.0,236912.75,0.0,2219.75,2219.75,0.9458100582463047,1,PE,2.8,-10.0,22500
2025-03-10,236912.75,235086.25,0.0,-1826.5,-1826.5,-0.7709589289727969,1,PE,31.4,-51.5,22650
2025-03-11,235086.25,238173.75,0.0,3087.5,3087.5,1.31334776066231,1,PE,12.9,-19.0,22350
2025-03-12,238173.75,236932.25,-1241.5,0.0,-1241.5,-0.5212581151365336,1,CE,-65.75,33.6,22450
2025-03-13,236932.25,236282.25,0.0,-650.0,-650.0,-0.2743400275817243,1,PE,-16.75,-20.0,22500
